"name"	"year"	"month"	"total_flights"	"n_distinct_destination"	"avg_air_time"	"avg_distance"	"perc_delayed"
"Brownsville South Padre Island Intl"	2017	12	50	1	54.18	308	0.08
"Greater Binghamton Edwin A Link Fld"	2017	12	79	1	68.2805	378	0.2195
"San Angelo Rgnl Mathis Fld"	2017	12	28	1	37.7931	229	0.0345
"Lihue"	2017	12	1092	13	132.4476	1118.0975	0.1522
"Melbourne Intl"	2017	12	95	1	67.85	442	0.09
"Charlotte Douglas Intl"	2017	12	9099	71	110.9037	755.2437	0.13
"Pittsburgh Intl"	2017	12	2303	28	114.6472	770.3988	0.1538
"Nome"	2017	12	48	2	62.4211	514.0175	0.1579
"Lubbock Preston Smith Intl"	2017	12	400	7	64.6045	406.592	0.1443
"Missoula Intl"	2017	12	207	3	86.9952	660.9474	0.1627
"Cincinnati Northern Kentucky Intl"	2017	12	1456	28	106.1636	711.4318	0.1331
"Panama City-NW Florida Bea."	2017	12	274	6	61.9371	375.8531	0.1189
"Albert J Ellis"	2017	12	19	1	65.6	399	0.2
"William P Hobby"	2017	12	4607	47	94.9094	715.2306	0.1655
"Aspen Pitkin County Sardy Field"	2017	12	590	10	79.4192	613.3485	0.314
"Des Moines Intl"	2017	12	589	14	99.005	679.5142	0.1642
"South Bend Rgnl"	2017	12	407	5	54.4964	324.4532	0.2398
"Devils Lake Regional Airport"	2017	12	47	2	47.4151	313.3774	0.1321
"Laramie Regional Airport"	2017	12	50	1	25.1961	113	0.2353
"Cedar Rapids"	2017	12	385	7	63.7391	390.4246	0.1918
"Montrose Regional Airport"	2017	12	115	12	90.6348	692.5391	0.1652
"Rhinelander Oneida County Airport"	2017	12	57	1	40.8167	190	0.2333
"Hartsfield Jackson Atlanta Intl"	2017	12	26808	151	93.2357	676.9314	0.1234
"Kalamazoo"	2017	12	81	3	46.321	221.5309	0.1975
"Rogue Valley Intl Medford"	2017	12	368	7	78.727	543.9405	0.1459
"Huntsville International Airport-Carl T Jones Field"	2017	12	306	4	56.7421	324.7642	0.1101
"Tucson Intl"	2017	12	1246	17	99.9257	734.4492	0.0959
"Southwest Florida Intl"	2017	12	3020	37	133.1615	994.9158	0.1473
"Spokane Intl"	2017	12	949	14	94.2272	716.9225	0.1592
"Jamestown Regional Airport"	2017	12	69	2	37.5181	266.012	0.1205
"Fresno Yosemite Intl"	2017	12	730	9	78.1148	528.8975	0.123
"Sarasota Bradenton Intl"	2017	12	273	7	100.3617	713.0426	0.1383
"Tampa Intl"	2017	12	6389	57	122.2608	890.0248	0.1492
"Billings Logan International Airport"	2017	12	288	3	70.2951	492.2674	0.1528
"General Mitchell Intl"	2017	12	2206	29	107.5869	765.94	0.1546
"Sioux Falls"	2017	12	279	5	62.1773	405.1525	0.2305
"Yampa Valley"	2017	12	137	11	103.0725	803.2029	0.2609
"Fairbanks Intl"	2017	12	260	2	123.3231	950.8154	0.0808
"Brainerd Lakes Rgnl"	2017	12	51	1	29.0392	114	0.2353
"Great Falls Intl"	2017	12	126	2	81.0079	599.8819	0.1417
"Durango La Plata Co"	2017	12	164	2	47.3598	266.9573	0.0915
"Lewiston Nez Perce Co"	2017	12	59	1	65.5932	461	0.0508
"Meadows Fld"	2017	12	142	3	82.7394	537.2887	0.1268
"Piedmont Triad"	2017	12	377	6	61.1038	375.7089	0.1772
"Niagara Falls Intl"	2017	12	22	1	154.8182	1176	0.2727
"Lovell Fld"	2017	12	276	3	46.9241	274.7103	0.1862
"Minot Intl"	2017	12	163	2	71.4	504.4242	0.1576
"Chisholm Hibbing"	2017	12	51	1	37.5098	174	0.2353
"Palm Springs Intl"	2017	12	901	12	105.8937	772.0443	0.1052
"Albany Intl"	2017	12	742	12	119.9453	744.9413	0.2003
"Will Rogers World"	2017	12	1276	21	88.4323	625.488	0.1299
"Theodore Francis Green State"	2017	12	1239	17	117.8734	730.9053	0.1688
"Asheville Regional Airport"	2017	12	239	3	53.5236	310.3346	0.248
"Denver Intl"	2017	12	17973	124	114.9094	895.2824	0.1511
"Sloulin Fld Intl"	2017	12	126	2	80.5159	562.1905	0.1825
"Lambert St Louis Intl"	2017	12	4570	50	104.0891	737.5737	0.1682
"Reno Tahoe Intl"	2017	12	1350	17	77.4068	550.9042	0.0951
"Harrison Marion Regional Airport"	2017	12	54	2	54.8772	310.3509	0.2281
"Kahului"	2017	12	2137	19	152.458	1288.9296	0.125
"Rock Springs Sweetwater County Airport"	2017	12	54	1	42.4074	260	0.1481
"Houghton County Memorial Airport"	2017	12	52	1	53.7049	360	0.2623
"Tri-Cities Regional Airport"	2017	12	83	1	41.0674	227	0.0674
"Southwest Oregon Regional Airport"	2017	12	16	1	68.1875	412	0.1875
"James M Cox Dayton Intl"	2017	12	451	7	81.7115	490.7787	0.1692
"Baton Rouge Metro Ryan Fld"	2017	12	462	4	63.6211	434.882	0.1532
"Cedar City Rgnl"	2017	12	51	1	39.451	221	0.1961
"Santa Fe Muni"	2017	12	130	2	69.0923	495.3077	0.1231
"Tallahassee Rgnl"	2017	12	131	1	41.3546	223	0.0993
"Bethel"	2017	12	67	1	55.0282	399	0.2113
"General Edward Lawrence Logan Intl"	2017	12	9903	55	158.0678	1037.7253	0.1983
"Shreveport Rgnl"	2017	12	333	4	63.7965	416.9767	0.1134
"Evansville Regional"	2017	12	134	3	56.5255	318.9708	0.146
"Bradley Intl"	2017	12	1850	23	136.8841	888.4225	0.1651
"Grand Junction Regional"	2017	12	183	3	50.7596	287.9781	0.0874
"Fort Wayne"	2017	12	445	5	51.7401	289.6366	0.2467
"Lehigh Valley Intl"	2017	12	163	3	98.3869	590.3036	0.2083
"Mc Ghee Tyson"	2017	12	561	9	80.9058	495.7714	0.1815
"Phoenix Sky Harbor Intl"	2017	12	12750	89	124.4863	987.8373	0.1041
"Newport News Williamsburg Intl"	2017	12	48	1	86.96	508	0.04
"Louisville International Airport"	2017	12	783	15	86.5918	562.5293	0.1211
"Minneapolis St Paul Intl"	2017	12	10519	112	109.2347	799.2455	0.1464
"Chippewa Valley Regional Airport"	2017	12	54	1	48.3455	269	0.1091
"Palm Beach Intl"	2017	12	2360	20	126.3417	935.1161	0.1732
"Duluth Intl"	2017	12	164	2	43.7614	231.6875	0.1364
"Akron Canton Regional Airport"	2017	12	405	8	70.1663	433.1027	0.2078
"Wilkes Barre Scranton Intl"	2017	12	141	4	73.2431	396.9861	0.2222
"Arnold Palmer Regional Airport"	2017	12	80	4	126.4198	901.3951	0.2469
"Delta County Airport"	2017	12	50	1	48.3529	306	0.2745
"Sitka Rocky Gutierrez"	2017	12	87	3	27.7727	131.6477	0.0341
"Lake Charles Rgnl"	2017	12	85	1	30.2791	127	0.0581
"Burlington Intl"	2017	12	195	4	79.49	447.325	0.4
"Juneau Intl"	2017	12	315	6	67.9502	480.3769	0.0654
"Rochester"	2017	12	194	3	50.2312	316.9648	0.2513
"Honolulu Intl"	2017	12	4108	27	149.5216	1280.3681	0.104
"Tri Cities Airport"	2017	12	299	5	70.7533	475.8882	0.1711
"Aberdeen Regional Airport"	2017	12	58	1	43.6066	257	0.1148
"Jacksonville Intl"	2017	12	1352	16	81.1208	554.7198	0.1419
"Capital City"	2017	12	103	4	25.6381	91.4762	0.2571
"Redding Muni"	2017	12	90	1	41.9444	199	0.0889
"Columbia Rgnl"	2017	12	108	3	77.3578	465.3853	0.211
"Santa Barbara Muni"	2017	12	397	6	73.1912	492.8971	0.125
"Syracuse Hancock Intl"	2017	12	548	9	94.839	584.3631	0.2415
"Bert Mooney Airport"	2017	12	56	1	55.0893	358	0.1429
"Erie Intl Tom Ridge Fld"	2017	12	87	2	38.1531	192.6531	0.1837
"Boise Air Terminal"	2017	12	1444	15	85.136	577.7619	0.1159
"Grand Forks Intl"	2017	12	87	1	46.1538	284	0.1538
"Fort Smith Rgnl"	2017	12	120	2	51.704	331.192	0.104
"Lea Co Rgnl"	2017	12	57	1	73.2632	501	0.1053
"Mc Carran Intl"	2017	12	12123	75	121.74	974.7305	0.1156
"Philadelphia Intl"	2017	12	6061	39	154.7205	1045.2286	0.1981
"Newark Liberty Intl"	2017	12	9581	85	166.6977	1139.9648	0.224
"Louis Armstrong New Orleans Intl"	2017	12	4044	42	105.8465	788.9852	0.1479
"Midland Intl"	2017	12	426	6	65.4426	433.2482	0.1405
"Chippewa County International Airport"	2017	12	56	2	64.8393	367.5893	0.5179
"Portland Intl Jetport"	2017	12	383	6	89.8098	514.8098	0.2494
"Orlando Intl"	2017	12	11422	74	133.142	973.5819	0.1547
"Washington Dulles Intl"	2017	12	3047	35	188.4304	1312.0659	0.1262
"Dothan Rgnl"	2017	12	80	1	33.4767	170	0.1977
"Wiley Post Will Rogers Mem"	2017	12	61	2	85.1311	612.1803	0.082
"Arcata"	2017	12	99	1	45.9902	250	0.1078
"Deadhorse"	2017	12	60	1	37.2295	204	0.0328
"Quad City Intl"	2017	12	211	5	70.3733	444.3502	0.1705
"Lafayette Rgnl"	2017	12	131	2	57.6788	372.9416	0.1752
"Baltimore Washington Intl"	2017	12	8423	60	122.5484	813.8572	0.1789
"Buffalo Niagara Intl"	2017	12	1422	19	97.5017	642.4175	0.2248
"Adams Fld"	2017	12	525	9	77.5682	509.5944	0.1308
"Manchester Regional Airport"	2017	12	457	9	116.5983	696.1987	0.1706
"Roberts Fld"	2017	12	329	6	82.744	591.9307	0.1807
"Hilo Intl"	2017	12	524	3	49.6243	327.7021	0.1082
"Trenton Mercer"	2017	12	169	7	132.5439	892.5906	0.1754
"Raleigh Durham Intl"	2017	12	3034	34	112.6288	733.0735	0.1516
"Jackson Hole Airport"	2017	12	254	12	101.5753	800.6023	0.2317
"Cape Girardeau Regional Airport"	2017	12	49	2	51.1	273.5	0.24
"Rapid City Regional Airport"	2017	12	226	4	72	486.307	0.136
"San Luis County Regional Airport"	2017	12	263	4	58.7045	340.1477	0.1136
"Stewart Intl"	2017	12	118	3	122.2521	778.3193	0.2941
"Bemidji Regional Airport"	2017	12	60	1	36.5082	199	0.1639
"Eppley Afld"	2017	12	1427	22	98.4073	697.9129	0.1397
"Bob Hope"	2017	12	2122	12	67.8879	451.9804	0.0958
"Golden Triangle Regional Airport"	2017	12	74	1	44.0263	241	0.2237
"Fort Lauderdale Hollywood Intl"	2017	12	7989	62	142.6523	1054.5713	0.1601
"Montgomery Regional Airport"	2017	12	101	1	29.5	147	0.1636
"Lawton-Fort Sill Regional Airport"	2017	12	29	1	30.1724	140	0.2069
"Mc Allen Miller Intl"	2017	12	170	2	56.4798	363.7572	0.0751
"Petersburg James A. Johnson"	2017	12	59	2	21.5333	77	0.0167
"Charleston Afb Intl"	2017	12	1066	18	85.0929	565.1601	0.127
"Natrona Co Intl"	2017	12	60	1	60.8667	320	0.0667
"Elko Regional Airport"	2017	12	54	1	36.9815	200	0.1852
"Los Angeles Intl"	2017	12	17622	79	161.5707	1317.0909	0.126
"Miami Intl"	2017	12	5929	42	154.3407	1139.4271	0.1331
"Chicago Ohare Intl"	2017	12	20248	148	115.5736	829.8787	0.1878
"Portland Intl"	2017	12	5153	44	132.1995	1057.2785	0.1247
"Yuma Mcas Yuma Intl"	2017	12	114	1	31.6754	160	0.0526
"Ontario Intl"	2017	12	1806	15	78.9787	554.2246	0.1284
"Wichita Mid Continent"	2017	12	606	9	84.509	587.8401	0.106
"Appleton"	2017	12	138	3	59.5643	383.9143	0.1786
"Daytona Beach Intl"	2017	12	152	2	70.4359	470.3269	0.0577
"Yakutat"	2017	12	59	2	35.9167	205.5	0.0333
"Pueblo Memorial"	2017	12	51	1	26.4118	109	0.1765
"La Guardia"	2017	12	7624	51	131.2387	850.8096	0.1979
"Austin Straubel Intl"	2017	12	269	4	51.8044	290.262	0.1328
"Adak Airport"	2017	12	8	1	132	1192	0.1111
"Mammoth Yosemite Airport"	2017	12	12	1	41.8333	193	0.25
"Gunnison - Crested Butte"	2017	12	46	2	96.8913	732.2609	0.0652
"Robert Gray Aaf"	2017	12	151	3	52.4375	355.2625	0.1375
"Helena Rgnl"	2017	12	146	4	75.8219	538.4932	0.1301
"Toledo"	2017	12	26	1	46.8846	213	0.2308
"Key West Intl"	2017	12	85	1	93.2584	646	0.0337
"Quincy Regional Baldwin Field"	2017	12	74	2	40.4737	216.8684	0.25
"Salt Lake City Intl"	2017	12	9066	88	100.1669	759.6663	0.1142
"Jackson Evers Intl"	2017	12	325	4	59.1881	367.1851	0.1463
"Ralph Wien Mem"	2017	12	52	2	52.5345	390.6724	0.1724
"Bellingham Intl"	2017	12	109	3	85.6514	641.4312	0.1927
"Elmira Corning Rgnl"	2017	12	11	1	115	717	0.1818
"Blue Grass"	2017	12	354	6	68.2198	374.4148	0.1429
"Glacier Park Intl"	2017	12	208	5	97.7512	746.2632	0.2057
"Ford Airport"	2017	12	56	2	50.2982	296.6842	0.386
"Gulfport-Biloxi"	2017	12	189	2	58.5787	362.3553	0.1574
"San Francisco Intl"	2017	12	14828	79	146.8994	1206.8494	0.1159
"Laughlin-Bullhead Intl"	2017	12	31	1	37.871	188	0.1935
"Mbs Intl"	2017	12	184	3	35.0529	168.2275	0.1905
"Peoria Regional"	2017	12	174	1	34.3409	130	0.2159
"Charles M Schulz Sonoma Co"	2017	12	145	2	50.1325	321.7152	0.0728
"Nashville Intl"	2017	12	4667	48	102.835	702.844	0.152
"El Paso Intl"	2017	12	881	11	81.4299	609.4423	0.1335
"Long Island Mac Arthur"	2017	12	581	8	132.6855	846.5282	0.2256
"Metropolitan Oakland Intl"	2017	12	4250	33	96.521	710.1457	0.1128
"Chicago Midway Intl"	2017	12	7089	60	107.1378	782.3211	0.2117
"Port Columbus Intl"	2017	12	1882	25	111.236	748.5721	0.1736
"Yellowstone Rgnl"	2017	12	60	1	53.0984	298	0.1639
"NW Arkansas Regional"	2017	12	357	8	92.4148	620.9835	0.1126
"Monterey Peninsula"	2017	12	183	2	41.4239	202.3152	0.1359
"Alpena County Regional Airport"	2017	12	50	2	31.8077	145.9038	0.3077
"Dane Co Rgnl Truax Fld"	2017	12	598	10	70.4033	457.1372	0.1719
"Wrangell Airport"	2017	12	59	2	17.4333	56.5	0.05
"La Crosse Municipal"	2017	12	179	2	38.2346	168.3408	0.1899
"Austin Bergstrom Intl"	2017	12	4583	43	119.4952	901.9736	0.1134
"Abraham Lincoln Capital"	2017	12	86	1	39.0575	174	0.1724
"Westchester Co"	2017	12	481	7	141.4251	957.6242	0.2341
"Roanoke Regional"	2017	12	76	2	64.3293	388.8293	0.1341
"Hector International Airport"	2017	12	297	3	62.9867	406.887	0.1595
"Key Field"	2017	12	90	3	70.5376	407	0.3226
"Sacramento Intl"	2017	12	3920	29	98.5184	745.6163	0.0972
"Ithaca Tompkins Rgnl"	2017	12	85	1	65.9651	353	0.3605
"Barkley Regional Airport"	2017	12	53	1	68.5636	342	0.1636
"Pellston Regional Airport of Emmet County Airport"	2017	11	70	2	35.6667	192.25	0.1111
"Harrisburg Intl"	2017	11	282	4	82.371	498.4876	0.0601
"Easterwood Fld"	2017	11	122	2	30.8279	121.2131	0.0738
"Lincoln"	2017	11	243	4	69.8765	443.8025	0.0864
"Memphis Intl"	2017	11	1095	19	81.0583	545.3564	0.0665
"Charlottesville-Albemarle"	2017	11	203	3	77.3865	483.7198	0.1256
"Plattsburgh Intl"	2017	11	21	1	175.0952	1334	0.1905
"Norfolk Intl"	2017	11	918	14	82.7367	497.3689	0.0849
"Valley Intl"	2017	11	180	4	46.8611	284.1722	0.0778
"Magic Valley Regional Airport"	2017	11	88	1	34.1364	175	0.0909
"Mobile Rgnl"	2017	11	269	3	70.0632	416.9777	0.0335
"City Of Colorado Springs Muni"	2017	11	728	13	89.5055	638.0781	0.0877
"Laredo Intl"	2017	11	82	2	54.4024	302.1585	0.0244
"Albuquerque International Sunport"	2017	11	1522	21	95.8151	697.3705	0.0708
"Central Wisconsin"	2017	11	53	1	47.8868	213	0.0377
"Dallas Fort Worth Intl"	2017	11	14353	100	121.9513	903.3033	0.0873
"Wilmington Intl"	2017	11	156	3	56.3333	303.3846	0.0513
"Kodiak"	2017	11	48	1	40.0769	253	0.1731
"Atlantic City Intl"	2017	11	273	7	123.7372	878.854	0.0292
"Detroit Metro Wayne Co"	2017	11	10483	100	98.2807	666.3694	0.0837
"John F Kennedy Intl"	2017	11	7170	52	211.1429	1503.9255	0.094
"Central Illinois Rgnl"	2017	11	177	3	56.9661	327.2429	0.1186
"Muskegon County Airport"	2017	11	55	1	30.4643	118	0.1607
"Richmond Intl"	2017	11	1281	13	88.2098	561.7441	0.0764
"Hattiesburg Laurel Regional Airport"	2017	11	60	1	18.2667	69	0.0833
"Kansas City Intl"	2017	11	3563	39	105.1501	747.3355	0.0566
"Ronald Reagan Washington Natl"	2017	11	5918	44	119.2241	804.3458	0.0789
"Idaho Falls Rgnl"	2017	11	193	2	48.7047	302.715	0.0518
"Tulsa Intl"	2017	11	1175	15	77.697	511.5506	0.0664
"Springfield Branson Natl"	2017	11	250	4	80.724	535.784	0.056
"Friedman Mem"	2017	11	50	1	31.5439	222	0.0351
"Savannah Hilton Head Intl"	2017	11	662	9	77.3771	512.0121	0.0664
"Ted Stevens Anchorage Intl"	2017	11	1139	21	145.5039	1171.4071	0.0795
"Birmingham Intl"	2017	11	957	14	80.903	509.1585	0.0511
"George Bush Intercontinental"	2017	11	10048	100	115.0676	843.4357	0.0636
"Yeager"	2017	11	131	3	81.4504	507.3817	0.0763
"Falls Intl"	2017	11	47	1	45.0612	255	0.102
"Brownsville South Padre Island Intl"	2017	11	53	1	56.8113	308	0
"Greater Binghamton Edwin A Link Fld"	2017	11	84	1	67.6548	378	0.0833
"San Angelo Rgnl Mathis Fld"	2017	11	60	1	40.6333	229	0.0667
"Lihue"	2017	11	952	11	111.1139	935.7325	0.0721
"Melbourne Intl"	2017	11	112	1	68.5982	442	0.0446
"Charlotte Douglas Intl"	2017	11	9156	73	106.7844	733.8718	0.0855
"Pittsburgh Intl"	2017	11	2325	28	110.2266	752.9109	0.0656
"Nome"	2017	11	55	2	65.5	514.4483	0.0862
"Lubbock Preston Smith Intl"	2017	11	355	8	64.9551	405.8708	0.0702
"Missoula Intl"	2017	11	171	3	87.7485	661.731	0.0643
"Cincinnati Northern Kentucky Intl"	2017	11	1566	27	106.2702	702.2702	0.0956
"Panama City-NW Florida Bea."	2017	11	314	6	60.742	367.7261	0.0764
"Albert J Ellis"	2017	11	23	1	66.6087	399	0.0435
"William P Hobby"	2017	11	4538	47	97.5827	708.3421	0.0869
"Aspen Pitkin County Sardy Field"	2017	11	183	5	53.9309	341.3191	0.0532
"Des Moines Intl"	2017	11	655	13	97.8704	664.2942	0.0655
"South Bend Rgnl"	2017	11	431	6	59.4942	343.2715	0.1044
"Devils Lake Regional Airport"	2017	11	48	2	52.2353	333.2941	0.0392
"Laramie Regional Airport"	2017	11	50	1	24.4706	113	0.098
"Cedar Rapids"	2017	11	458	5	64.3551	389.2941	0.1307
"Rhinelander Oneida County Airport"	2017	11	57	1	43.1034	190	0.0517
"Hartsfield Jackson Atlanta Intl"	2017	11	28231	144	95.6728	664.5204	0.0524
"Kalamazoo"	2017	11	116	3	44.75	210.2155	0.1207
"Rogue Valley Intl Medford"	2017	11	347	6	79.1829	548.3943	0.14
"Huntsville International Airport-Carl T Jones Field"	2017	11	339	4	54.8235	318.9647	0.0441
"Tucson Intl"	2017	11	1231	17	101.0243	743.0721	0.0989
"Southwest Florida Intl"	2017	11	2542	34	131.7373	978.3162	0.0751
"Spokane Intl"	2017	11	1022	13	87.8097	632.4883	0.1194
"Jamestown Regional Airport"	2017	11	74	2	41.8875	260.625	0.1
"Fresno Yosemite Intl"	2017	11	678	10	72.3598	500.1013	0.0969
"Sarasota Bradenton Intl"	2017	11	205	3	93.568	643.9515	0.0777
"Tampa Intl"	2017	11	5769	56	120.639	877.0222	0.0722
"Billings Logan International Airport"	2017	11	262	4	70.251	496.2586	0.0989
"General Mitchell Intl"	2017	11	2316	28	106.9845	740.2938	0.0789
"Sioux Falls"	2017	11	324	5	66.6185	432.5785	0.0708
"Fairbanks Intl"	2017	11	258	2	123.0575	972.5402	0.0728
"Brainerd Lakes Rgnl"	2017	11	50	2	26.9216	113.6667	0.1176
"Great Falls Intl"	2017	11	116	3	80.4828	573.1379	0.0172
"Durango La Plata Co"	2017	11	104	2	47.0673	272.7788	0.0577
"Lewiston Nez Perce Co"	2017	11	55	1	65.6727	461	0
"Meadows Fld"	2017	11	191	3	75.0733	501.6283	0.0785
"Piedmont Triad"	2017	11	509	6	62.4255	373.9	0.1176
"Niagara Falls Intl"	2017	11	23	2	136.5833	1110.25	0
"Lovell Fld"	2017	11	217	3	54.4128	318.3853	0.1284
"Minot Intl"	2017	11	164	2	72.5091	504.4242	0.103
"Chisholm Hibbing"	2017	11	49	1	36.82	174	0.06
"Palm Springs Intl"	2017	11	826	11	98.5042	723.7768	0.1037
"Albany Intl"	2017	11	762	12	114.752	737.9147	0.0774
"Will Rogers World"	2017	11	1344	20	87.7708	600.6914	0.0645
"Theodore Francis Green State"	2017	11	1247	17	114.9752	745.288	0.068
"Asheville Regional Airport"	2017	11	225	3	64.0885	367.7611	0.1549
"Denver Intl"	2017	11	17607	122	116.8153	893.3847	0.0791
"Sloulin Fld Intl"	2017	11	139	2	82.6115	563.9137	0.0863
"Lambert St Louis Intl"	2017	11	4542	49	104.2902	734.4015	0.0832
"Reno Tahoe Intl"	2017	11	1272	17	70.9246	499.9425	0.0769
"Harrison Marion Regional Airport"	2017	11	56	2	57.875	313.1964	0.1964
"Kahului"	2017	11	1944	18	137.3296	1163.9218	0.0644
"Rock Springs Sweetwater County Airport"	2017	11	55	1	41.5	260	0.0536
"Houghton County Memorial Airport"	2017	11	55	1	57.8305	360	0.0678
